Glyphs	Convention	Transcribed	Meanings	Connection	√√	Akkadian
𒆗;𒌜;𒀆	šedu;šedu₂;šedu₃	šedu	spirit	"<> #duššû душа́ dušá ""spirit"" дух dux duchᵒⁿ"		#šēdu 
𒊺𒄞	še-eštub	še'eštub	spring barley	še.GUD Sommergerste		#arsuppu 
𒊺𒂵	še-ga	šega	agreement	съгла́сие sǎglásie		#mitgurtu 
𒊺	še	šeg	agree	𒊺 šeg … še  съглася́вам се sǎglasjávam se (съ-глася́ sǎ-glasjá se )	<!!!	
𒊺	še	šeg	to agree, be in agreement; to obey	"si say ""yes"" sag Ja << souladu слу́шам slúšam totella طاوع ṭāwiʕ   … ?"	<<<	#magāru 
𒋞;𒊺𒅁	šeg₁₂;še-eb	šeg	mudbrick	Ziegel		#libittu 
𒊾;𒀀𒋙𒉀	šeg₉;šeg₄	šeg	snow; sleet; cold weather; frost, ice; burning, incineration; chills, shivers	𒊾 šegⁿᵒ snow 𒊭𒆷𒄖 תלג שֶׁלֶג šéleḡ •thelg < تلج talg תלגא		#šalgu;šurpu;šuruppû;šurīpu 
𒂠	še₃	šeg	to take away, seize 	šeg seize 		
𒊺;𒆂;𒅗·𒋺;𒅲;𒅗;𒋞	še;šeg₁₀;šegₓ(KA×KID₂ );šegₓ(KA×LI);šed₁₅;šeg₁₂	šeg	voice, cry, noise	sag		#rigmu 
𒆂𒄄;𒅝𒄄;𒅗·𒋺𒄄;𒅲𒄄	šeg₁₀gi₄;šeg₁₁; gi₄;šeg x (KA×KID₂ ) gi₄;šeg x (KA×LI) gi₄	šeg gi	make noise	shake;)		
𒊺𒃰𒋺𒌫	še-GAD.TAK₄ .UR₂	šeGADTAKUR	claw 	ко́готь kógotʹ @aliGator  <> но́кът nókǎt नख nakh Nagel	<<++	
𒊺𒊽	še-garadin₃	šegaradin	grain-stack 	𒊽 𒊺𒄑𒃻 ¦ 𒃻𒄑𒊺 gar.cis.še 𒊽 garadin₃ grain [[guard]]		
𒊺𒂆	še-gin₂	šegin	glue 	šegin < لصاق lṣāq < صَمْغ ṣamḡ <  zamkë > սոսինձ sosinj сину (sinu)	++	
𒉈	šeĝ₆	šeĝ	to cook; to dry a field; to fire (pottery)	…		#bašālu 
𒀀𒀭;𒅎𒀀𒀀;𒅎𒀀𒀭	šeĝ₃;šeĝₓ(IM.A.A);šeĝₓ(IM.A.AN)	šeĝ	to (fall as) dew; to rain; rain	Rhein ≈ rain a'an арн'ин arn'in im-a-an im-aᵗa مطر máṭar  𒅎𒀀𒀀 a'a а-қәа́ a-kʷá ≈ aqua	<<<!!!	#nalāšu;zanānu 
𒄑𒊺𒄑𒊏𒄴	ĝeš še-ĝeš-ra-ah	šeĝešrah	threshing tool 	tribulum θέρος théros 	…?	
𒊺𒆥	ŠE.KIN	ŠEKIN	(compound verb nominal element) 			
𒊺𒆥𒋻;𒆥𒋻	ŠE.KIN kud;KIN kud	ŠEKIN kud	to reap 	to sickle		
𒍏𒅖𒍏	šeknuₓ(URUDA.IŠ.URUDA)	šeknu	verdigris, patina	"𒁾	šen₄ 𒍏𒅖𒍏	šamanur"		"#šuhtu 𒈽𒌅 	šuḫ-tu "
𒊺𒇷	še-li	šeli	aromatics	sel ≠ salt		#kikkiriānu 
𒂠𒇷𒍝	še₃-li-za	šeliza	? 	?		
𒊺𒇽	še-lu₂	šelu	coriander	ˢkulantro @ andro		#kisibirru  زْبَرَة kuzbara قُسْبَرَة qusbara 
𒋍;𒋆𒁉𒍥;𒋆	šembi;šem-bi-zid;šembizi	šembizida	kohl, eye makeup, antimony paste; to anoint, smear on	сүрме sürme ≈ smear-char ≈ szemceruza	<	#egû;eqû;šimbizidû 
𒊿	šen	šen	battle; (single) combat	šen.bat		#qablu;šašmu 
𒊿;𒍏𒊿	šen;urud šen	šen	cauldron	x قزان ʔazaan < казан قزان kazan qozon Kesseln 𒆬𒊿 •KU.šen	<++	#ruqqu 
𒊿	šen	šen	pure, clear	schön ≠ sin		#ellu 
𒁾	šen₄	šen	verdigris, patina, rust	ज़ंग zaṅg ژنگ žang ჟანგ žang ժանգ žang ժանգառ žangaṙ زنگار zangâr <  tanikt  <>  สนิม sà-nǐm  ສະໜິມ sa'nim зеленясване zelenjasvane сэмту semty သံချေး samhkye:  ἰός σιδήρου ᠰᡝᠪᡩᡝᠨ sebden 錆 さび, sabi 2. table tafl taluft 	_+++_	#šuhtu 
𒍏	šen₂	šen		?		
𒊺𒄤	še-naga₃	šenaga	? 	?		
𒊺𒃻𒌉𒌉	še-niĝ₂tur-tur	šeniĝturtur	minor crops 	/ … / https://chat.openai.com/c/73abdee3-848c-4fa3-9433-4d09801b766d		
𒄒	šennur	šennur	plum	susinaʳ սալոր salor (NL) ῦμνον δαμάσκηνο damáskino Schlehe שְׁזִיף sh'zíf ciruela	<<	#šallūru 
𒊺𒆰	še-numun	šenumun	seed	semen		#zēru 
𒈲	šer₁₀	šer	acquisition 	ⵙⵖ sɣʳ شرى šra ⴰⵖ aɣʳ aquire sáyṓʳ sali ≠ sell  харидан xaridan mercar ખરીદવું kharīdvũ  خریدنا xarīdnā  רכישה rekhisha اِشْتَرَى ištarā  cumprà 		
𒁍;𒊺𒅕	sir₂;še-er	šer	reddening, sunburn (?); bright; brilliance, ray	𒁍𒎌 𓏞 *kŕ̥miš “worms” crimson 𓍿 𓅓 𓋴  @ sarah sunray strahl		#namāru;šarûru;şiriptu 
𒊺𒅕	še-er	šer	to weaken	schwächer		#enēšu 
𒉪𒁕;𒂡𒁕	šer₇-da;šer₃-da	šerda	crime	Straftat Straftum #šērtuᵐ  جَرِيمَة jarīma جُرم jorm குற்றம் kuṟṟam crime кем-херек kem-xerek зло́чин zlóčyn	<<	#šērtu 
𒉪𒁕;𒂡𒁕	šer₇-da;šer₃-da	šerda	punishment	šerdaᶠ #šērtuᶠ serve Strafe  @ court?	<<	#šērtu 
𒊺𒅕𒂃	še-er-du₈	šerdu	? 	?		
𒉪𒂃𒈾	NIR/šer₇-du₈-na	šerduna	frame 	nir<> innramme  ≠ κορνιζάρω kornizáro ≠ строя (bg) (stroja), съставям (bg) (sǎstavjam)	--	
𒊺𒊑	še-ri	šeri	disabled 	<> crippled		
𒊺𒊑𒀀	še-ri-a	šeria	dish	serve?		#şirpētu 
𒊺𒅕𒄩𒀭;𒊺𒅕𒅗𒀭;𒊺𒅕𒃷;𒊺𒅕𒂵𒀭;𒊺𒅕𒃶	še-er-ha-an;še-er-ka-an;še-er-kan₂;še-er-ga-an;še-er-kan	šerkan	ornament 	𓄡 𓎡 𓂋 𓅱 𓐬 𓏛 𓏥 | ornaments | δkr  𓅱 𓋴 𓐍 𓋝 sacranˢ ≈ šerkan  	<<	
𒋢𒂡𒂡	kuš šir₃-šir₃	šeršer	chain	širᵒⁿ chairn > chain 		#šeršerru 
𒌆𒊺𒅕𒋾	tug₂ še-er-ti	šerti	strip of cloth 	šertiᵖ ≈ strip ;)		
𒊺𒅕𒍥	še-er-zid	šerzid	radiance	@ sarah		#šaruru 
𒋁	šeš₂	šeš	to anoint	сма́зать smázatʹ 𐎎𐎌𐎈 mšḥ schmieren 𐍃𐌰𐌻𐌱𐍉𐌽  salben		#pašāšu 
𒋀	šeš	šeš	brother; junior worker, assistant	assistant ;)		#ahu 
𒋀𒋰	šeš-tab	šeštab	brotherly companion 	sister		
𒂞	šeš₄	šeš	 	?		
𒂞;𒋁𒋁;𒋁;𒋁;𒀀𒅆;𒀅;𒅆·𒀀	šeš₄;še₈-še₈;še₈;šeš₂;šešₓ(A.IGI);šeš₃;šeₓ(IGI×A)	šeš	to weep	(Heul)Suseᵛ		#bakû 
𒂗𒈨𒇷	šešlam₂	šešlam	 	?		
𒊺𒇡	še-zar	šezar	grain heap 	 seeds cairn سطل sutil		
𒊺𒇡𒈦	še-zar-maš	šezarmaš	grain heap 	amas <  amassāre  ad + massa קומה koma <> (Korn)Kammer		
𒅆	ši	ši	to become tired	sleepy		#egû 
𒌋𒂙;𒂙	šibir;šibir₂	šibir	shepherd's staff; sceptre	shepherd's		#šibirru 
𒋃	šid	šid	count(ing); number; half (shares); to count	세다 seda •shadd عدّ ˢʕadd add consider! 数点 shǔdiǎn ˢἀριθ ˢarith schachert zählt счита́ть sčitátʹ	<++!	#minûtu;mišlānū 
𒉪	šid₃	šid	to ride	"sit @ saddle ""straddle"" चढ्नु caḍhnu 타다 tada скака́ць skakácʹ  ꙗхати jaxati joti šidᶥ"		#rakābu 
𒁶	šidim	šidim	builder, architect	<> वास्तु vā́stuᵐ ხუროთმოძღვარი xurotmo…  ճարտարապետ čartarapet สถาปนิก sà-tǎa…		#itinnu 
𒁶𒃲;𒃲𒁶;𒁶	šidim-gal;šidimgalₓ(GAL.DIM₂ );šidim	šidimgal	chief builder 	"𒁶 dim₂ => s'dim 𒁶 šidim Stämm- 𓊨 𓊾 𓍒 𓊢  ""builder, architect"" causative"	<+	
𒁶𒈤	šidim-mah	šidimmah	master builder 	<>  stavitel строи́тел stroítel строи́телка stroítelka (con)structor 	<^	
𒆷	šika	šika	(pot)sherd	skar شکاله šekâle skarᵈ shard		#išhilşu 
𒋞𒋞𒋙	šikahara	šikahara	 	?		
𒀿	šikangu	šikangu	leatherworker	/		#aškāpu 
𒋢𒅆𒄣	kuš ši-kum	šikum	leather object	…		#šipku? 
𒉦;𒀖𒉦;𒀖𒉥;𒊮𒇴;𒉥;𒀖𒉣𒇬	šilam;ab₂ šilam;ab₂ šilam₂;ša₃-lam;šallam₂;ab₂ NUN.LAGAR	šilam	cow; bovine	⚡︎ siram ≈ صیغیر sığır.um ≈ taur	<<	#arhu;littû 
𒉦𒍝	šilam-za	šilamza	bull? 	^^		
𒍂	šilig	šilig	dough	< •tilig ≈ talg > Teig		#līšu 
𒅭	šilig₇	šilig	 	?		
𒅆𒇻𒌝	ši-lu-um	šilum	depression?	silence?		#šīlu 
𒋆	šim	šim	aromatic substance; beer malt	Soma <> smell		#rīqu 
𒋆𒋭	šim-lal₃	šimlal	sweet aromatics 	™™		
𒋆𒊬	šim-mu₂	šimmu	perfumer 	"𒋆 RIK RIQ 𒋆𒊬 𐎗𐎖𐎈 rqḥ rōqḗaḥ רוֹקֵחַ Riecher ""perfumer""  mu₂ : μυρεψός murepsós"		
𒋆𒈫𒊬𒈤	šim₂mu₂mah	šimmumah	high priest 	soma-maha		
𒋋	šinₓ(ŠIM×GAR)	šin	 	?		
𒄑𒋒;𒋒	ĝeš šinig;šinig	šinig	tamarisk	柽 chēng		#bīnu 
𒅆𒅅𒌈	ši-iq-tum	šiqtum	almond	x שִׁגּדּא šigdā ≈ šat 𒆳·𒇴  		#šiqdu 
𒉢	šir	šir	testicle; bulb	"zirχ ≈ circle 𓌨 𓂋 𓅱 ყვერი q̇veri чуурга çuurga ""Kugel"""		#išku 
𒈡	širₓ(MA×TAK₄ )	šir	 	?		
𒂡𒁕	šir₃-da	širda	pole 	< qirda < quarter 4 <> قُطْب m quṭb কুতুব kutub గడ కర్ర gaḍa karra cabar 		
|KA×X|	širi	širi	 	?		
𒂡𒂼𒃶	šir₃-ama-gan	širamagan	subscript 	! sour ≠ sous		
𒂡𒌉𒁕	šir₃-ban₃-da	širbanda	subscript 	!		
𒂡𒄩𒁵	šir₃-ha-mun	širhamun	subscript 	!		
𒂡𒆬	šir₃-kug	širkug	subscript 	!		
𒂡𒈣𒋽𒉘	šir₃-ma₂gur₈-re	širmagure	subscript 	!		
𒂡𒉆𒉈𒊒𒈠	šir₃-nam-erim₂ma	širnamerimak	subscript 	!		
𒂡𒉆𒈜	šir₃-nam-nar	širnamnar	subscript 	!		
𒂡𒉆𒉺𒇻	šir₃-nam-sipad	širnamsipadak	subscript 	!		
𒂡𒊑𒄞	šir₃-RI-gud	širRIgud	subscript 	!		
𒂡𒊕	šir₃-saĝ	širsaĝ	subscript 	!		
𒂡𒊕	šir₃-saĝ	širsaĝ	lament 	cry		
¿𒊑𒁕	šir₂ri-da	širrida	 	?		
𒅆𒅆	ši-ši	šiši	defect 	šeiße -- cacat		
𒋖	šita	šita	prayer	"𒋖 šita свята́р svjatár •salvator"" 𒋖 ≈ 𒉌 ṣal ≈ šˡita צְלוֹתָא ṣəlôṯā ṣalā™ ጸሎት ṣälot salvation ""prayer"" 𒉆𒋖 𒉆𒄑 <> 𒉌 salbe"		#riksu 
𒋃𒆕	šita₅-du₃	šitadu	accountant	𒋃 ŠID •shadd عدّ ˢʕadd add count consider 𒋃 •CND		#pāqidu 
𒋥	šita₃	šitan	pipe, water-channel	Stange		#rāţu 
𒆠𒁺𒆕	šiten	šiten	march, passage	send?   sol.ut.du => sliocht <> Schlucht slí		#mâlaku 
𒆠𒈗	šitenₓ(KI.LUGAL)	šiten	 	?		
𒄑𒌋	ĝeš šu₄	šu	basket	𒌋 ⋍ C ≈ 𓏘 Kerbe [[carve]] [[curve]] 𒄑𒌋 Korb		#huppu 
𒋗;𒍧;𒋗·	šu;sum₅;šu-x	šu	hand	𒂠 SUMUNX 𒋗 ŠU.manuₓ 𓂠 𓂟 𒍧 sum₅ 		#qātu 
𒄑𒋗	ĝeš šu	šu	handle 	<<<<<<<<<<<< deep connections possible 		
𒌋	šu₄	šu	totality, world	Aegae Eckes <> #kiššatu c'šu₄		#kiššatu 
𒋗𒁁	šu bad	šu bad	to plunder?	sindbad! سَلَبَ salabaᵈ συλάω suláōᵇᵃ σκυλεύω skuleúō saquejar 	<<	#ūţānum 
𒋗𒁁	šu bad	šu bad	to take (possession of)	^		#? 
𒋗𒁄	šu bal	šu bala	to change	chambar cambiō <> μεταβάλλω metabállō बदलना badalnā 		#šupêlu 
𒋗𒁇;𒋗𒁀	šu bar;šu ba	šu bar	to release; to forget	super szabadon solta; ¬savoir  𓋴 𓅓 𓐍 𓂜 𓀁 / 𓅓 𓂝 𓉔 𓏮 𓅪    𐌿𐍆𐌰𐍂𐌼𐌿𐌽𐌽𐍉𐌽 ufarmunnōn मृष्यति mṛṣyati		#(w)uššuru;? 
𒋗𒆪	šu dab₅	šu dab	to capture	𓂩 сап cap Schaft 𒂉 DUR  …KUR grab Ergreifen		#kamû 
𒋗𒁖	šu dag	šu dag	to cut off, abandon	schneidig  त्यागना tyāgnā دست کشیدن dast kašidan נטש? 		#batāqu 
𒋗𒁖	šu dag	šu dag	to roam about	x تَجَوَّلَ tajawwala נטש <> נדד nadád		#nagāšu;rapādu 
𒋗𒂼𒋳	šu dagal tag	šu daĝal tag	to spread wide; to give lavishly	"𒋗 ≈ 𓂧 δu in 𒋗𒂼𒋳 διασπείρω diaspeíro diffundere disseminate ""spread"" <> szétszór щедро дарить ščedro darit'"		#? 
𒋗𒁺;𒋗𒉐	šu de₆;šu tum₃	šu de	to carry; to apply oneself to a task; to touch	သယ် (my) (sai) شال (šāl) ташуу (ky) (taşuu) trag duce		#? 
𒋗𒃻;𒋗𒂷𒂷	šu ĝar;šu ĝa₂ĝa₂	šu ĝar	to carry out (a task)	 sortir  شَغَّلَ šaḡḡala !	<<+	#gamālu 
𒋗𒉽𒉽	šu dim₄ / šu pa₄	šu dim	prudent 	šupa₄ sapien- 𓋴 𓃀 𓇼 𓏤	+++	
𒋗𒆕	šu du₃	šu du	'to bind the hands'	𒆕 DÙᵍ tackle tie		#kamû 
𒋗𒌌	šu du₇	šu du	to complete, perfect; in working order (of tools)	done deed		#šuklulu 
𒋗𒂃	šu du₈	šu du	to hold	handuˡ > holdu halte hold		#kullu 
𒋗𒁆	šu dub₂	šu dub	to pull out	chıqarish sahib سحب < •duhib 𒁆		#napāşu 
𒋗𒅗	šu dug₄	šu dug	to touch	to touch		#lapātu 
𒋗𒅗	šu dug₄	šu dug	to turn into something	side / drehung		#? 
𒋗𒌓𒁺	šu e₃	šu e	to bless; to go out?; to terrify?	BIR₂e₃šu bless BIR₂DU		#waşû;palāhu;karābu 
𒋗𒄄	šu gi₄	šu gi	to repay; to return something to someone, settle an account	do give / zurückgeben		#gimillu turru;šullumu 
𒋗𒄄	šu gi₄	šu gi	to repeat	do again		#šanû 
𒋗𒁍	šu gid₂	šu gid	to accept	𒋗𒁍 do pur прыма́ць prymácʹ прима prima <> beleegyezik قَبِلَ qabila		#mahāru 
𒋗𒁍	šu gid₂	šu gid	to examine (extispicy)	"bur ≈ bağırsak  𒋗 shou <> ""zōhan"" (臓占) zhānxī"" 占犀 suolentarkastus"		#barû 
𒋗𒁍	šu gid₂	šu gid	to play (a musical instrument) 	do guitar / zitter		
𒋗𒄥	šu gur	šu gur	to pick grapes	…grape ≈ gurape ≈ grab	<<!	#qatāpu ša karāni 
𒋗𒄥	šu gur	šu gur	to wipe off; to roll up	•šugar ≈ enxugar •essuger essuyer <> suck σκουπίζω skoupízo սրբել srbel		#qarāru;qebēru 
𒋗𒄥;𒋗𒆥	šu gur;šu gur₁₀	šu gur	to wipe clean; to erase	^		#kapāru 
𒋗𒄸	šu hub₂	šu hub	to whirl 	turbinare 		
𒋗𒅅	šu ĝal₂	šu ĝal	?	?		#? 
𒋗𒄾	šu hul	šu hulu	to destroy	kill?		#? 
𒋗𒄷𒍖	šu hu-uz	šu huz	to burn	s'heiz  #šūhuzu 		#šūhuzu 
𒋗𒅍	šu il₂	šu il	'to raise the hand'	dust lever, tõsta käsi, υψώνω το χέρι ypsóno to chéri, eli kaldır,  举手 (jǔ shǒu)	<<	#qātu našû 
𒋗𒃸	šu kar₂	šu kar	to denigrate	s'kara schwärzen սևացնել sewacʿnel  denigrar dénigrer 	<<	#ţapālu 
𒋗𒋼𒀀	šu kar	šu kar	to spare	spare		#šūzubu 
𒋗𒇲	šu la₂	šu la	to defile	spoila		#lu'û;lupputu 
𒋗𒇲	šu la₂	šu la	to paralyze	x أَشَلَّ (ʔašalla)	<<!!	#eşēlu;kasû 
𒋗𒇲	šu la₂	šu la	to entrust	/ https://en.wiktionary.org/wiki/entrust#translations		#qâpu 
𒋗𒊬	šu mu₂	šu mu	to enlarge	s'maha зголемува zgolemuva зголеми zgolemi 𐌼𐌹𐌺𐌹𐌻𐌾𐌰𐌽 mikiljan  μεγαλύνω megalúnō		#? 
𒋗𒊬	šu mu₂	šu mu	to pray	𓊃 𓈖 𓌰 𓅓 𓀂 synmesse ^ ≠ seminar <> 𓋴 𓆷 𓄿 𓀃 صَلَّى ṣallā ϣⲗⲏⲗ šlēl	<<!!++	#karābu 
𒋗𒆸;𒋗𒆸	šu niĝin₂;šu niĝin	šu niĝin	to make a round trip	≈hingehn?	-	#sahāru 
𒋗𒄫𒂖𒇲;𒋗𒉈𒇲;𒋗𒉋𒇲	šu pe-el-la₂;šu pel-la₂;šu pel₂la₂	šu pela	to defile; to reduce	•de-pel₂la₂ •depela defile <>		#lu'û;qullulu 
𒋗𒉾	šu peš	šu peš	to expand	𒋗 ≈ 𓂧 χε ≈ εχ 𒋗𒉾 expand ( 𒉾 pontikós 𓊪 𓈖 𓏌 𓅱 𓄛 ποντικός )	<<+++	#qātum wuşşûm 
𒋗𒊒𒄘	šu ru-gu₂	šu rugu	to oppose	zurück		#? 
𒋗𒊏	šu rah₂	šu rah	to beat; to knead	raw rough rrah rraf s'rugh > schlag- *slak- slap <> цокх tsokx	<<	#mahāşu 
𒋗𒊑	šu RI	šu RI	to wring the hands	<> x عصر اليدين (asir al-yadayn)		#šute'ulu 
𒋗𒆥;𒋗𒁲;𒋗𒋛𒋡;𒋗𒋛𒅅𒋡	šu saga₁₁;šu sa₂;šu si-qa;šu si-iq-qa	šu saga	to rub	s'ḥakka حَكَّ shake <> sharg 		#sêru シルシル shiru-shiru  sürtmək < τρίβω tríbō 
𒋗𒋢𒌒	šu su-ub	šu sub	to wipe off, clean, rub	soap שפשף shifshéf	<	#mašāšu 
𒋗𒋢𒌒𒀝	šu su-ub ak	šu sub ak	to rub	^^		#sêru 
𒋗𒋛𒁲	šu si sa₂	šu si sa	to put in order	<>	<	#šutēšuru 
𒋗𒋛𒀧	šu si-il	šu sil	to immobilize an animal 	… https://chat.openai.com/c/73abdee3-848c-4fa3-9433-4d09801b766d		
𒋗𒋢𒌒	šu su-ub	šu sub	to gather up, to collect, to scrape together	s'scrape ga-sup #ᵍesēpu 	<<	#esēpu 
𒋗𒋤	šu sud	šu sud	'to stretch the hand out'	sud ≈ stretch?		#? 
𒋗𒊭𒀭𒊭𒊭	šu ša-an-ša-ša	šu šanšaša	to search	šaša ≈ chercher		#? 
𒋗𒋧	šu šum₂	šu šum	to entrust	sysym?	<<	#paqādu 
𒋗𒋙	šu šu₂	šu šuš	to overwhelm	<> zavalit?  --		#? 
𒋗𒋳	šu tag	šu tag	to decorate	to deco		#za'ānu 
𒋗𒋳	šu tag	šu tag	to touch	to touch		#lapātu 
𒋗𒋫𒇥𒅗	šu ta-hab₂	šu tahab dug dug₄	to ooze, drip?; to soak, saturate? 	tahab ≈ drip? …?		
𒋗𒋺;𒁆	šu taka₄;šu takaₓ(BALAG)	šu taka	to send	to take to		#? 
𒋗𒋾;𒋗𒋼	šu teĝ₄;šu teĝ₃	šu teĝ	to accept	take	+++	#leqû;mahāru 
𒋗𒌅𒁍𒌌;𒋗𒌅𒁍𒌨	šu tu-bu-ul;šu tu-bu-ur	šu tubul	to mix	turbule-	<++	#šutābulu 
𒋗𒌅𒌅	šu tu-tu	šu tutu	to withstand	s'tutu ≈ steady <> stative stand		#mahāru 
𒋗𒌅𒌅	šu tu-tu	šu tutu	to approach	step? ^?		
𒋗𒃡	šu ur₃	šu ur	"to erase; to level off	(surveying); to clip (a bird)"	urᵃšu erase		#kapāru;pašāţu;šêqu ša madādi 
𒋗𒍑	šu us₂	šu us	to push open (a door)	𒍑  ᵖuš in path, base 𒍑𒄩  ᶠuš'ku₆ pesco fish		#se'û 
𒋗𒍑	šu us₂	šu us	to send; to lead away; to fetch	…	<	#abāku 
𒋗𒍥𒃻	šu zid ĝar	šu zid ĝar	to bestow	𒁀 #qiāšu <> décerner conceder дари́ть darítʹ	<?	#šutlumu 
𒋗𒍣	šu zig₃	šu zig	'to raise the hand'; to rise; 	zeig / zeug?		#nanduru;qātu našû;tebû 
𒋗𒍣	šu zig₃	šu zig	to plunder	zieh zock 		
𒋗𒁇𒋗𒅅	šu-bar-šu-ĝal₂	šubaršuĝal	possession	super perso possess	<?	#sikiltu 
𒋗𒁇𒊏	šu-bar-ra	šubarra	half share	sub…	<?	#mišlānū 
𒋗𒁇𒍣	šu-bar-zi	šubarzi	to help	super#azāru > סייע 'עזר siyéa 'azár  ajudar  ܥܵܕܹܪ ʿader aider   <>  συντρέχω syntrécho	<+++	#azāru 
𒋗𒁇𒍣	šu-bar-zi	šubarzi	present, gift	"<> 𒃻𒆸	kibšur gifts® 𒊭𒊏𒆪 	ša-ra-ku "		#qiāšu 
𒄑𒋙𒀀	ĝeš šu₂a	šua	stool 	𒋙 šú ≈ state 𓊨 𓀻		
𒊒	šub	šub	to fall; to drop, lay (down); to thresh (grain)	sub 		#habātu;maqātu;nadû 
𒋃	šub₆	šub	to lick 	schlabber ♡		
𒄊;𒍣𒍣𒂠	šub₅;šubₓ(ZI&ZI.EŠ₂ )	šub	rush, sedge	𓆷 •shrub	++	#šuppatu 
𒍝𒈽;𒍝𒈹	šuba;šuba₂	šuba	multicoloured; manly; young man; pure; clear; bathed	šuʳbunt serpent		#bitrāmu;ellu;eţlu;ramku 
𒍝𒈽;𒍝𒈹	šuba;šuba₂	šuba	manly; young man; 	•ǧubar  גַּבְרִי gavri 𓀀 גֶּבֶר géver giver Geber 		#bitrāmu;ellu;eţlu;ramku 
𒍝𒈽;𒍝𒈹	šuba;šuba₂	šuba	pure; clear; bathed	sauber		#bitrāmu;ellu;eţlu;ramku 
𒂡·𒄷	šubba	šubba	 	?		
𒆝;𒆜𒆸;𒆜𒇥;𒆜𒆜𒆸𒆸;𒆞	šubtu₆;šubtu₃;šubtu₅;šubtu₄;šubtu₇	šubtum	dwelling, encampment	šub < camp? <> سكنة sukna שכן shékhen 𐎎𐎌𐎋𐎐𐎚 mšknt		
𒆝;𒆜𒆸;𒆜𒇥;𒆜𒆜𒆸𒆸;𒆞	šubtu₆;šubtu₃;šubtu₅;šubtu₄;šubtu₇	šubtu	ambush 	šubtu ≈ csapda		
𒋗𒁔𒊏	šu-bur₂ra	šubura	palsy	buraᵃˡšu παράλυση parálysi  šuᵃˡ شَلَل šalal		#mašādu 
𒆃;𒋗𒌅;𒅗𒋗	šud₃;šu-tu;šudₓ(KA.ŠU)	šud	blessing	√said Segen  𐬀𐬴𐬌 aṣ̌i™ :	<>	
𒆃;𒋗𒌅;𒅗𒋗	šud₃;šu-tu;šudₓ(KA.ŠU)	šud	prayer, dedication	𓊃 𓆷 𓄿 𓄃 𓏜 zšꜣ sodizin Sünd šuˡtu צְלוֹתָא ṣəlôṯā  صلات সালাত śalat 𐎕𐎍𐎚 ṣlt swala™ salvation  @ sultan?		#ikribu 
𒆃𒁺	šud₃du / šud₃ša₄ 	šud ša	to pray 	^		
𒋗𒁳	šu-dib	šudib	handle? 			
𒋗𒌌;𒌋𒆤	šu-du₇;šita₄	šudu	fully equipped, in full working order	sutsche ;)		#šuklulu 
𒋗𒆕	šu-du₃	šudu	handcuffs 	šukak 手铐 shǒukào 手锁 shǒusuǒ 手械 shǒuxiè … أَصْفَاد ʔaṣfād кишен kişen χειροπέδες cheiropédes		
𒋗𒂃𒀀	šu-du₈-a	šudu'a	captive 	^^		
𒋗𒂃𒀀	šu-du₈-a	šudua	guarantee 	surety		
𒋗𒊨	šu-dul₃	šudul	protection 	Schutz ^^	<+ dala @ Kurd
𒃻𒌆;𒌋𒂈;𒄑𒌋𒌆;𒄑𒋗𒌪;𒄑𒋙𒂈;𒋗𒂈;𒌨·𒀀;𒌨·𒀀	ša₂dul₅;šu₄-dul₄;ĝeš šu₄-dul₅;ĝeš šu-dul₉;ĝeš šu₂dul₄;šu-dul₄;ĝeš šu-dulₓ(UR×A);ša₂dulₓ(UR×A)	šudul	yoke, crossbeam	≠ saddle		#nīru 
𒋃	šudum	šudum	reckoning 	"𒋃	ŠID ≈ счёт sčot 𒋃 šudum stima schatten смятане smjatane "		
𒋃	šudum	šudum	warp	distorsion ?		#šutû 
𒌆𒋗𒂃𒌫	tug₂ šu-du₈-ur₂	šudur	 	?		
𒋗𒃲𒀭𒍪	šu-gal-an-zu	šugalanzu	potter	грънча́р grǎnčár		#pahāru 
𒋗𒃲𒀭𒍪	šu-gal-an-zu	šugalanzu	wise	šuPAanzu 𓋴 𓃀 𓇼 !?!?!	<<!	#mūdû 
𒋗𒃼	šu-gar₃	šugar	?	?		#? 
𒄑𒋗𒂵;𒋗𒄀;𒋗𒄄;𒋗𒄃	ĝeš šu-ga;šu-gi;šu-gi₄;šu-gilim	šugi	bolt	Siegel  csavar •šraghi šraf  Schraube  шраф 		#napraku 
𒋗𒄄;𒋗 𒄀	šu-gi₄;šu-gi	šugi	"senior,	elder, old person; old"	•segnor		#šību 
𒋗𒄀	šugi	šugi	 	?		
𒋗𒁍	šu-gid₂	šugid	designation of animals, unfit for work? 	… šu.pur		
𒋗𒄥	šu-gur	šugur	ring; a rolled up mat	circur		#kamkammatu;šugurru 
𒌆𒋗𒄥𒊏;𒄥	tug₂ šu-gur-ra;gur	šuʳgura	turban 	sarıq цюрба́н cjurbán		
𒋗𒄥𒄥	šu-gur-gur	šugurgur	purification (ceremony)	^? •karcarsu κάθαρση kátharsi	<<	#takpertu 
𒋗𒄥𒄥	šu-gur-gur	šugurgur	swabbings	Tupfer		#kupīrātu kope@Maori
𒋗𒃻𒄄	šu-ĝar-gi₄	šuĝargi	avenger	ĝargi kairānaki Rächer 		#mutēr gimilli 
𒋗𒄿	šu-i	šu'i	barber	scherer choper		#gallabu 
