№	English					
201	at	𓊪𓊃𓎼 𓄑 𓀁		spit on, spit at	psugh = spuck	
201	at	𓊪𓋴𓎼 𓂐		spit on, spit at	psig ~ spuck / spit ++	
201	at	𓊵		be pleased , be happy, be gracious , pardon , be at peace, peaceful, become calm	Māte / माफी maphy !?! / مترف mataroph/maptaroph ⇔ getting hot!	
201	at	𓊵 𓏏𓊪		be pleased, be happy, be gracious, pardon, be at peace		
201	at	𓊵 𓏏𓊪𓏜		be at peace, peaceful, become calm		
201	at	𓊵 𓏏𓊪𓏜		be at peace, peaceful, become calm		
201	at	𓋴𓏏𓄝 𓇋𓇋𓁹		stare, stare at	shteøyr = stare	
201	at	𓋴𓐟 𓄿 𓎛 𓃃		kick, reach, arrive at   }	schalter h'area / schelter area? ←	
201	at	𓌈 𓆓 𓂻		set forth at dawn		
201	at	𓌈 𓆓 𓇳 𓂻		set forth at dawn		
201	at	𓌨 𓂋		 at , through , subject 		
201	at	𓌨 𓂋		 at , through , subject 		
201	at	𓌴 𓁹 𓄿 𓄿		 look on  , look 	mvoyer ➙ voyer/äugen / loojer ➙ look	
201	at	𓌴 𓁹 𓄿 𓈖		look at	loojen ➙ looken	
201	at	𓍄 𓏏𓏥		 wonder, marvel 		
201	at	𓍿𓇑𓇑𓈖𓏏𓉐		sanctuary at Memphis	San'tuary ⇔ sAnkh-Tauri = Memphis!! / Tchant > Sant! / Tchenet Senat sanctuary ⇔ Gyneth	
201	at	𓍿𓈖𓈖𓏏𓉐		sanctuary at Memphis	~ saint ~ sanctuar	
201	at	𓎛 𓄿 𓀠		mourn, wail, screech , dance 		
201	at	𓎛 𓊵 𓏏𓊪		be at peace, peaceful, become calm		
201	at	𓎡 𓆑 𓂝 𓂡		shoot at 	^^ capture/copt=crete	
201	at	𓎼 𓅱𓎼 𓀁		shout 	guck! -- ←	
201	at	𓏃		who is at the head of, foremost		
201	at	𓏃		who is at the head of, foremost	outstanding	
201	at	𓏅 𓈖𓏏		who / which is in front of, southern, south of, who is at the head of		
201	at	𓏅 𓈖𓏏𓏮		who / which is in front of, southern, south of, who is at the head of		
201	at	𓏏𓈖𓃀 𓄡 𓂻		turn aside, swerve, shrink , run at random 	~	
201	at	𓏏𓈖𓇑𓇑𓈖𓏏𓉐		sanctuary at Memphis	~sanctuary	
201	at	𓐍 𓆑		when, according to, at the time of, when,  to 	ex-sun / as soon	
201	at	𓐍 𓆑 𓏏	qvndo++	when, according to, at the time of, when,  to 	 quando, when	
201	at	𓐍 𓈖𓏏		ƒ who is at the head of, foremost		
201	at	𓐍 𓏏𓆑		when, according to, at the time of, when,  to 	 in front of, in accordance	
202	in	𓀒		fall 		
202	in	𓁀		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night		
202	in	𓁶 𓂝 𓅱		 who are in front of , before 	VOR oun? / form	
202	in	𓁶 𓊪𓅱𓂝 𓏤 𓀼 𓏪		 who are in front of , before 		
202	in	𓁶 𓏤 𓅓		in front of, in the direction of, before 	frifr  / frühver / früher	
202	in	𓁶 𓏤 𓌴 𓐙 𓂝 𓆀		beside, in the neighbourhood of, accompanying, escorting	for nahro-come / vs viscinity	
202	in	𓁷		in return for, because of	ob / Platt-deutsch OK!	
202	in	𓁷 𓄣		in the middle, midst of	 at-mindt / ob-heart / vs opportun	
202	in	𓁷 𓏤		 upon, in, at, from, on account of, concerning, through, and, having on it, because		
202	in	𓁷 𓏤 𓂝 𓏤		in default ?		
202	in	𓁷 𓏤 𓋴𓍑 𓄿 𓋴𓏝 𓏥		being in good state		
202	in	𓁷 𓏤 𓋴𓍑 𓋴𓏝		being in good state	ob gzunder state / in gesundem status ! / !! ++	
202	in	𓁷 𓏤 𓐟 𓏤		upon, outside, after, in turn	ob-back = aback / op-han = upon! / ob-hal	
202	in	𓁷 𓐛 𓏤		beside, in the presence of	ob-part / at-side	
202	in	𓁹 𓄂 𓏏𓏤		get in front of	make cHead ++ / eye port	
202	in	𓂋		 a part 		
202	in	𓂋 𓁻		in return for, because of	rey reug / re	
202	in	𓂋 𓂞 𓁷 𓏤		give in addition to	reich ob ...	
202	in	𓂋 𓂞 𓁷 𓏤 𓂝 𓏤		put in the charge of	re' ob armee / churn ➙ charge	
202	in	𓂋 𓂞 𓅓 𓄣 𓏤		determine, place in one's heart, prompt		
202	in	𓂋 𓉔 𓈖𓀙		lean , rely on, trust in		
202	in	𓂋 𓉔 𓈖𓂢		rely on, trust in	rho? enbrace? / re-enbrace ? / רזה râzâh raw-zaw' ⇔ eraze / sanada : lean on, rely on / lean. רפ râpha raw-fas' / RHON-hier aronhier:'erinner'? ronja : / erhon ~ ehren... / hierony ... / ----------------	
202	in	𓂋 𓉔 𓈖𓂢 𓂡		lean , rely on, trust in	ehren... ⇔ hieron : old / rehon: lehon: lehn? re.lyhn lean / ----------------	
202	in	𓂋 𓌕 𓈖𓏏𓏛 𓏥		as the price of, in exchange for	re' taxend	
202	in	𓂋 𓌴 𓁹 𓅱𓏥 𓈖		in the sight of	ar meyren / ar nearen / re näheren ...	
202	in	𓂋 𓌵 𓄿		in the sight 	r meyer	
202	in	𓂋 𓌵 𓏲 𓈖		in the sight of	r meylen / ! +	
202	in	𓂋 𓍑 𓄿 𓅱𓏏𓏴 𓏛		in return for, because of	rezaerent-end / ⇔ resentment ^^^	
202	in	𓂋 𓍑 𓄿 𓅱𓏏𓐎 𓏛 𓏥		in return for, because of		
202	in	𓂋 𓍒 𓏏𓏴		in return for	ar zend_?	
202	in	𓂋 𓏶 𓅓 𓏮		between, in the midst of	a mid for lol / ar mifry / ?ƒ	
202	in	𓂋 𓐍 𓆑 𓏏𓁷 𓏤 𓏛		in front of, in the presence of    }	r ksnt opter	
202	in	𓂋 𓐛 𓏤		beside, in the presence of	re-part / à-part	
202	in	𓂝 𓂋 𓈎 𓍼 𓏛		be wise, skilled 	orquziter !?! ++ / organisiert / ? ja?	
202	in	𓂝 𓅓 𓄈 𓀁		swallow, breathe in, absorb, know	OHM!! ~ATHEM ++	
202	in	𓂝 𓅓 𓄈 𓀁		swallow, breathe in, absorb, know		
202	in	𓂡		grasp, make captures 		
202	in	𓂧 𓈎 𓂋 𓂷		process in spinning		
202	in	𓂧 𓈖𓏌𓅱𓏜		flaw 		
202	in	𓂧 𓉔 𓈖𓁶 𓇾 𓈇 𓏤		touch the earth with the forehead in obeisance	down head-ter / d'hon'earth ⇔ honor!	
202	in	𓂧 𓍯 𓏏𓇽		netherworld, nether chamber 	doat	
202	in	𓃀 𓅱𓈉		place 	BURG / Bonn	
202	in	𓃀 𓇋𓏏		vase 	pot / bathe / vase	
202	in	𓃤 𓀀		dignitary, senior 	Shaka	
202	in	𓃹 𓈖𓏏𓉐		sanctuary 	san'tor / san'tuar	
202	in	𓃹 𓈖𓐍 𓍼 𓋳 𓂡		be clothed 	Roben ziehen	
202	in	𓄁 𓏏𓇳		moment, instant, time 		
202	in	𓄊 𓋴𓂋 𓂡		strong, powerful, wealthy, influential, rich 	groß / goose:gr= groß QED / oskar = groß / Stolz wie Oskar / frech wie Oskar	
202	in	𓄑 𓂧 𓏏𓊖		Behdet , Edfu 		
202	in	𓄑 𓂧 𓏏𓊖		Behdet , Edfu 	zEdbtur ➙ Edfu / ⇔ zepter? / VS	
202	in	𓄑 𓂧 𓏏𓊖		Behdet , Edfu 	zEdbtur ➙ Edfu	
202	in	𓄡 𓂧 𓂋 𓅪		be in discomfort   -vål	shudder	
202	in	𓄡 𓅓 𓋴𓂢		bend 		
202	in	𓄡 𓊪𓅱𓐎 𓏥		figures 	scrapen paint? / ~carven / scoren	
202	in	𓄣 𓏤 𓆑 𓎔 𓎛 𓈗		weak in action	heart sinnar / heart-sin-Flasche /	
202	in	𓄥 𓄿 𓏛 𓇾		unite , land , be interred , interment	länter / landen / sämter / summon	
202	in	𓄥 𓄿 𓏜		unite, join , associate , arrive , partake , make ready ,	sammeln ...	
202	in	𓄥 𓏜		unite, join , associate , arrive , partake 	sum / sammeln / zusammen ... / /////////////////////////////////////////////////////////////////////////////	
202	in	𓄲 𓂋 𓂻 𓅓		go about in, pervade	turn for / turn in	
202	in	𓄲 𓈖𓂻		recur 	Turnus	
202	in	𓄿		 bird++ 	Aar ⇔	
202	in	𓄿 𓂾 𓁐		moment, instant, time 		
202	in	𓄿 𓂾 𓁐		moment, instant, time 	aeria aerta pod?	
202	in	𓄿 𓏏𓄇		moment, instant, time 		
202	in	𓄿 𓏏𓄇 𓇳		moment, instant, time 	at ⇔ Head?	
202	in	𓄿 𓏏𓇳 𓏤		moment, instant, time 	at hora / apt / at / ←	
202	in	𓄿 𓏤		vulture, bird 	Lär, Lar, Aar, adler, flyer! = Vl'ier = Vol-Tier!	
202	in	𓅓		 in the position of	im,in,mi	
202	in	𓅓		in the absence of, without	mne ...	
202	in	𓅓 𓁷 𓂋 𓏏𓇯		above, in advance of	im ober terr	
202	in	𓅓 𓁷 𓂋 𓐡 𓂡		in readiness for	im oberten...	
202	in	𓅓 𓂝		 in the hand, possession, charge of, together with, from		
202	in	𓅓 𓂝 𓆓 𓂧 𓐦 𓂡		press hard on, hit, strike 	marsch? / forsch zuhaun	
202	in	𓅓 𓂝 𓆼 𓄿 𓌙 𓌙 𓏛 𓄣 𓏤 𓈖		like in disposition to		
202	in	𓅓 𓂦 𓂋 𓏛 𓏥		in private		
202	in	𓅓 𓂺 𓏛		in the presence of, in front of, in front, formerly		
202	in	𓅓 𓂺 𓏛 𓂝 𓏤		in the presence of	presence	
202	in	𓅓 𓃀 𓅡 𓎛 𓂺 𓏛		in the presence of, in front of, in front, formerly		
202	in	𓅓 𓄂 𓏏𓏤		in front of, before	in front / im head	
202	in	𓅓 𓄚 𓈖𓏌𓅱𓉐		within, at, in the house of		
202	in	𓅓 𓆓 𓏏𓆑 𓏏𓍊		chisel 		
202	in	𓅓 𓆭		in excess of	high hoch ? / for arb - ?	
202	in	𓅓 𓇉 𓄿 𓅱𓏛 𓏥 𓁷 𓏤		in addition to, except	for hier-enter ob / for ihrer enter ober / for ihre renter	
202	in	𓅓 𓇥 𓂋 𓇋𓊅		shut out , wall in 		
202	in	𓅓 𓇥 𓂋 𓊅		shut out , wall in 	en-kuri	
202	in	𓅓 𓉔 𓅱𓏥		in the neighbourhood of	home en / im homen	
202	in	𓅓 𓊃𓈖𓏕 𓏏𓂋		in the likeness of, in accordance with		
202	in	𓅓 𓊃𓈖𓏕 𓏛 𓏏𓂋		in the likeness of, in accordance with	imn center?	
202	in	𓅓 𓊵 𓏏𓊪𓄤 𓆑 𓂋 𓅨 𓂋 𓏏		in very good peace 		
202	in	𓅓 𓋭 𓊃𓈇		 in drought		
202	in	𓅓 𓋭 𓊃𓈇		 in drought	No wasser	
202	in	𓅓 𓌻 𓂋 𓅱𓏏𓀁		in order that		
202	in	𓅓 𓍚 𓅱𓂻		at the approach of 	for chasen / vergessen  / vorkassener	
202	in	𓅓 𓏅 𓈖𓏏		 in the face of, within, out of	"in front / pre tent / ""ante portas"""	
202	in	𓅓 𓐍 𓂸 𓏏𓏪 𓀁		in the absence of, without		
202	in	𓅧 𓈎 𓂻		enter, charge, come in, have the entree, set , run aground, be noticed	come+qu= komm/kumm rin! / kumm / courier / comquer / cœur / ⇔conquer	
202	in	𓅧 𓈎 𓂻 𓂋 𓏤 𓀀		one over-familiar in speech ?	checker /	
202	in	𓅧 𓈎 𓂻 𓉐 𓂋 𓂻		come in and go out, come and go	kumm&part	
202	in	𓅭		duck, bird 	duck ® ! / shun ?	
202	in	𓋴𓎝 𓎛 𓏜	schon?	© make to endure, to last, make stay , lengthen , last long	se reaha ⇔ reach 'roady' / se waither -- / ~secure / schonen / store<>dure ++	
202	in	𓅱𓍑 𓄿 𓏛		remain over 		
202	in	𓅱𓍑 𓏜		remain over 	moisant ⇔ Heb moznaim  +++++ / minus← ? +	
202	in	𓅱𓍿𓋴𓍞 𓊩		raise, lift up 	wentserai ?? ←	
202	in	𓅿		 duck, bird 		
202	in	𓆇		in which is	ein / IN!	
202	in	𓆑		in-Tat [alt ?		
202	in	𓆓 𓂧 𓀀 𓈖𓈗		I speak in exactness	"chat-I Narmer"" ?
202	in	𓆓 𓆑 𓄿 𓅭 𓏛 𓏥		be provided, abound 	
202	in	𓆞 𓄿 𓅓 𓂘		bend down 	~nahn? / cling?
202	in	𓆷 𓄿 𓅓		father - in - law	Schwäher = Schwieger Schwäger Schwager ++++ DE
202	in	𓆼 𓄿 𓅓 𓀜		bend 	krümmen ++
202	in	𓆼 𓄿 𓅓 𓂘		bend 	
202	in	𓆼 𓄿 𓅓 𓂢 𓂡		bend 	greifen
202	in	𓆼 𓄿 𓆑 𓂝 𓂡		grasp, make captures 	
202	in	𓆼 𓅓 𓂢		bend 	kham ⇔ curve?
202	in	𓇉 𓄿		in attendance	hier!
202	in	𓇉 𓄿 𓅱𓏛 𓏥 𓁷 𓏤 𓄤 𓆑 𓂋		surpassing in beauty	
202	in	𓇋𓂋 𓏮 𓀺 𓂋 𓂧 𓂾 𓂾		one in attendence on	
202	in	𓇋𓄿 𓏏𓄇 𓇳		moment, instant, time 	Jährt / ⇔Vers
202	in	𓇋𓅓		in, with, by means of, from, out of, as, namely, when, as, though, together with	a'for / ever / over
202	in	𓇋𓊪		set in order, muster, assemble,	
202	in	𓇋𓏏𓈖𓂉 𓀜		be in apposition, oppose	atnose / appose ƒ--
202	in	𓇋𓏶 𓅓 𓆱 𓐍 𓏏		who are in attendance on, member of the bodyguard, superintendant,	
202	in	𓇋𓏶 𓅓 𓏮		who, which is in, in which is	inmitt'who / hamburti / imfor / I'm for tee  / 'umber two / Umberto eco / imper / amper / amber / sgame / importi / importent ←
202	in	𓇋𓏶 𓏏𓅱		between, in the midst of	inmitten
202	in	𓇍 𓇋𓂻 𓅓 𓊵 𓏏𓊪		come in peace	
202	in	𓇥 𓂋		 in, since, before, until	eher ++ / ere / ar
202	in	𓇬 𓈖𓇬 𓈖		move about 	sensen ⇔ ... OK! elsewhere
202	in	𓇬 𓈖𓐍 𓋳		be clothed 	sank-tuch
202	in	𓇼 𓅂 𓏏𓉐 𓀭 𓏪		dwellers in the netherworld	duang torio ?
202	in	𓇼 𓏏𓉐 𓀭 𓏪		dwellers in the netherworld	duat... / duatorios
202	in	𓈍 𓂝 𓅱𓏛 𓏥		appearance in glory	
202	in	𓈍 𓂝 𓏛 𓏥		appearance in glory	
202	in	𓈍 𓂝 𓏜		rise , appear in glory , be shining 	
202	in	𓈍 𓂝 𓏥		appearance in glory	grores / glores
202	in	𓈎 𓈖𓏏𓄃		yellowness 	
202	in	𓈖		 to, for, to , in , because, belongs to	an in no ~ nach
202	in	𓈖     𓎼		Babel: Baal-Beil  as L in names OK Beil wow	Bagdad / Schamer ⇔ Shumeri / Shameijar ⇔ Shumeria , Shaman?
202	in	𓈖𓆓 𓋴𓅪  𓀀		commoner, citizen, good fellow    -vål	~Nichts-Nutz
202	in	𓈖𓉔 𓏏𓆭		sycamore tree, tree 	
202	in	𓈖𓌻 𓂋 𓅱𓏏𓀁		in order that	in horendi / inherent / in order / ////////////////////////////////////////////////////// / //
202	in	𓈖𓍉 𓃢		adze of Wepwawet 	nAdze! / Netz?
202	in	𓈖𓍯 𓃧		adze of Wepwawet 	'n*ro ??? : / nor ⇔ NAUR!?!
202	in	𓈖𓎼 𓏏𓏴 𓀜		breach 	'negtend / unextend / ?
202	in	𓈙 𓃀 𓃀 𓏴 𓂝		knead 	
202	in	𓈙 𓅓 𓏏		mother - in - law	Schämdi 
202	in	𓈙 𓆑 𓂧 𓅱𓈔		metal object 	
202	in	𓈙 𓊃𓐠 𓄿 𓄃 𓏛		be wise, be converant , be skilled , know	
202	in	𓈞 𓅓 𓋴𓁒		dwell 	
202	in	𓈞 𓋴𓏏𓀂		seat 	_sit / ^^^^^^
202	in	𓉐 𓂋 𓂻 𓂋		advance against 	parrier
202	in	𓉐 𓂋 𓂻 𓅧 𓈎 𓂻		come in and go out, come and go	parir shaquir / parir comquir / part & come
202	in	𓉐 𓂋 𓏏𓂺 𓈓		fruit, seed, 	
202	in	𓉐 𓂋 𓏏𓍁 𓈓		fruit, seed, 	
202	in	𓉐 𓂋 𓏏𓏯 𓌾 𓏥		fruit, seed, 	BRUT / phyto
202	in	𓉔 𓈖𓈖𓁶		attend to, consider, trust , assent , approve, cajole ?	
202	in	𓉗 𓋞 𓈒 𓏥		Mansion of Gold , alabaster quarries , sculptor's workshop	Hut Nobis
202	in	𓉘 𓂓		chapel 	
202	in	𓉘 𓏏𓂓 𓉐		chapel 	
202	in	𓉲		know, perceive, be wise, skilled 	know : ναό QED
202	in	𓉻 𓂝 𓇋𓇋𓏛 𓏥		excess , difference 	
202	in	𓉻 𓉻 𓉻		excess , difference 	
202	in	𓊃𓊪𓊗		 times, twice	zoi ⇔ zwei tzoimes
202	in	𓊃𓊪𓊗 𓈖𓂜 𓏏𓏏𓅪  𓏥		in vain     -vål	zoint ← / ~zumn-nix-vail / tzoma-notte / zoit-notte
202	in	𓊃𓌳 𓄥		unite, join , associate , arrive , partake , make ready ,	zma soma~sammel summit ...
202	in	𓊃𓎡 𓇱		embroil 	zukr ⇔ Zank
202	in	𓊃𓐙 𓂝		put in order, correct, present, survey 	s'mau / smooth?
202	in	𓊄 𓅱𓇳 𓏥		day, dates 	
202	in	𓊄 𓏛 𓏏𓅱		in quest of	quest
202	in	𓊪𓂧 𓌒		stretch 	push
202	in	𓊪𓅮𓄿 𓈎 𓏏𓂂		thin part of bone in skull	^^yoch?--
202	in	𓊪𓅮𓏏𓏗		cake, loaf 	OƃLATE!?! ← ! +++ / quat ➙ cake ? / photey ⇔ paté ?
202	in	𓊪𓆓 𓌒		extend , draw , diffuse 	push
202	in	𓊪𓇋𓋴		tread in ? 	
202	in	𓊪𓏏𓎛 𓉘 𓂓		chapel 	Peter Ban
202	in	𓊪𓏏𓐍 𓂻		cast , put down , be stretched out 	
202	in	𓊵		satisfy, make content, pacify, occupy , rest in , assume 	
202	in	𓊵 𓏏𓊪		satisfy, make content, pacify, occupy , rest in , assume 	
202	in	𓊵 𓏏𓊪𓏜		satisfy, make content, pacify, occupy , rest in , assume 	
202	in	𓊵 𓏏𓊪𓏜		satisfy, make content, pacify, occupy , rest in , assume 	
202	in	𓊹 𓄹 𓄹 𓄹		the King 	
202	in	𓊹 𓊹 𓏏𓂋 𓏏𓏮 𓍇		adze 	
202	in	𓊹 𓋴𓅧 𓈎 𓎱		entry of god 	IO has come kurfest
202	in	𓋞 𓃀		melt , cast , gild, model, fashion	
202	in	𓋞 𓃀 𓇋𓇋		cast 	
202	in	𓋴𓂝 𓂋 𓂻		cause to ascend, make to rise 	
202	in	𓋴𓂝 𓂋 𓈐 𓂻		cause to ascend, make to rise 	
202	in	𓋴𓂝 𓂋 𓏮 𓈐 𓂻		cause to ascend, make to rise 	SORTIR!!
202	in	𓋴𓂝 𓈎 𓂻		land, bring, send in, drive 	shenqern: / schenken
202	in	𓋴𓃀 𓈖𓏏		cow in suck	?
202	in	𓋴𓅧 𓈎 𓂻		© cause to enter, bring to land, bring, send in, drive 	
202	in	𓋴𓅱𓇳 𓏥		day, dates 	 shoura sura sutra zeitraum swoche swendra
202	in	𓋴𓇥 𓂋		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night	
202	in	𓋴𓇥 𓂋 𓁀		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night	snore ⇔ stauer!? / churt چورت nap /  short snoret +++ --EN
202	in	𓋴𓈎 𓂋 𓌇		step out , work , set up 	
202	in	𓋴𓈎 𓂋 𓌪 𓂝		step out , work , set up 	square dance
202	in	𓋴𓈎 𓃀 𓎛 𓏂		  live in easy circumstances	
202	in	𓋴𓈎 𓐓 𓌇		step out , work , set up 	
202	in	𓋴𓈖𓉔 𓊪𓂻		© set in motion	generate +++
202	in	𓋴𓉔 𓄿 𓃫 𓀜		be in confusion	
202	in	𓋴𓋴𓋴𓅱𓇳 𓏥		day, dates 	Ssstundra?
202	in	𓋴𓌳 𓄿 𓄥 𓏜		unite, join , associate , arrive 	
202	in	𓋴𓌳 𓄿 𓅓 𓂻 𓀀		unite, join , associate , arrive 	escotiate: associate
202	in	𓋴𓌷 𓂝 𓂻		put in order, correct, present, survey 	
202	in	𓋴𓌷 𓂝 𓏜		put in order, correct, present, survey 	
202	in	𓋴𓍊 𓏛		© publish, make effective , pull, set in order ,	
202	in	𓋴𓍊 𓐍		© publish, make effective , pull, set in order ,	
202	in	𓋴𓍑 𓄿 𓂻		travel, depart 	zaire ~ zieher / schank ⇔ schwank Schachern?
202	in	𓋴𓍯 𓄿 𓎛 𓎝 𓏜		© make to endure, to last, make stay , lengthen , last long	s®oäher / schonen / ⇔schonen? / ⇔Chronos ?
202	in	𓋴𓎝 𓎛 𓏜		© make to endure, to last, make stay , lengthen , last long	se reaha ⇔ reach 'roady' / se waither -- / ~secure / schonen
202	in	𓋴𓎝 𓏜		© make to endure, to last, make stay , lengthen , last long	schonen / ← ? -
202	in	𓋴𓏠 𓈖𓍖 𓂝		© set in place , set up , record , confirm 	
202	in	𓋴𓏠 𓈖𓐍 𓍊 𓏛		© publish, make effective , pull, set in order ,	
202	in	𓋾 𓅱𓏏𓂸 𓏥		herds 	hexud : herd / Herden tiere / ""hequd / hergoat"	
202	in	𓌂 𓃀 𓏜		present 	preier?	
202	in	𓌒		stretch 		
202	in	𓌢 𓆓 𓏏𓇾		person sharing in funerary offerings		
202	in	𓌢 𓆓 𓏏𓈖		person sharing in funerary offerings		
202	in	𓌢 𓈖𓏌𓅱𓀀 𓏮		companion, fellow, equal, counterpart, dual contestants 	twinur-uners / twin-others= / counterpart	
202	in	𓌢 𓈖𓏌𓏮		contestants 		
202	in	𓌢 𓈖𓏌𓏲 𓀀 𓀀		companion, fellow, equal, counterpart,  contestants 		
202	in	𓌨 𓂋 𓂝 𓏤		under the hand of, in the charge of	care o'	
202	in	𓌨 𓂝		under the hand of, in the charge of		
202	in	𓌵 𓂋 𓅱𓁻 𓉐		viewing place 		
202	in	𓌷 𓂝 𓏜		 rightful , rightly belong , pleasing, be in order 	'Maath' / ←?> Heb moznaim 	
202	in	𓌾		barley, 		
202	in	𓍁 𓂋 𓏏		fruit, seed, 	fruit EN++ fur.ḫoe.t f'reut ⇔ Furche / fawaakih AR +- / acron ← hAcker.os  /  Acker.on	
202	in	𓍁 𓏏𓈒 𓏥		fruit, seed, 		
202	in	𓍅 𓏛		be ready, put one's trust , make preparation	mester	
202	in	𓍅 𓏛		furnish , settle , provide , set in order,		
202	in	𓍑 𓅱		remain over 	fin: ~final / Pfennig?	
202	in	𓍲 𓈖𓅪		suffer in , suffer from   -vål	shunful	
202	in	𓍿𓊃𓌙 𓏏𓏥		station 	⇔ / Ziel	
202	in	𓎔 𓏛		fill, be full of, pay in full, make whole, complete, finish	fill	
202	in	𓎔 𓏛 𓄣 𓏤 𓅓		trust in		
202	in	𓎛 𓀝 𓀜		beat, srike, smite, defeat , drive off 	herd / hurt / zürn? ⇔ thorn:Thor?	
202	in	𓎛 𓀝 𓀜		drive in , flap , clap, gather 		
202	in	𓎛 𓅱𓂸 𓃒 𓏥		a class of bulls, cattle 		
202	in	𓎛 𓅱𓅱𓃒 𓏥		a class of bulls, cattle 		
202	in	𓎛 𓅱𓇋𓇋𓅱𓃒 𓏪		a class of bulls, cattle 	Hwyw?	
202	in	𓎛 𓆰 𓈖𓏏𓍔 𓄿 𓅪		be in need    -vål		
202	in	𓎛 𓈞 𓋴𓀉		sit, sit down, dwell ,		
202	in	𓎛 𓈞 𓋴𓀉		sit, sit down, dwell , seat 		
202	in	𓎛 𓊵 𓏏𓊪		satisfy, make content, pacify, occupy , rest in , assume 	Hortepa ←	
202	in	𓎛 𓎛 𓀙 𓀜		breaking the force ? 		
202	in	𓎡 𓆑 𓄿 𓄖 𓏛 𓄣 𓏤 𓁷		trust in	 chacah chacuwth	
202	in	𓎡 𓈖𓅓 𓄛		wrap 	kanum.tier! comforter-- / vs löffel لفّ	
202	in	𓎡 𓈖𓌰 𓅓 𓏏𓅂 𓏥 𓈉		they who dwell in darkness	 Knightan <<	
202	in	𓎡 𓈖𓌰 𓅓 𓏏𓅂 𓏥 𓈉		they who dwell in darkness 	khim : ⇔ bahim / Khim*tan ⇔ Cimmeran @ Krim Cimber Camber campagne chamber camper / Khompten vs Copten / ←	
202	in	𓎼 𓂋 𓍅 𓏛		be ready , make preparation	grab!, grammes ⇔ word,lie ? ←	
202	in	𓎼 𓂋 𓍅 𓏛		furnish , settle , provide , set in order,		
202	in	𓎼 𓈖𓄡 𓈔		mount 		
202	in	𓏅 𓈖𓏏		 first 		
202	in	𓏅 𓈖𓏏		 in front of, among, from, out of	fore/front	
202	in	𓏅 𓈖𓏏		foremost, pre-eminent in, principal, protruding	front	
202	in	𓏅 𓈖𓏏		who / which is in front of, southern, south of, who is at the head of		
202	in	𓏅 𓈖𓏏𓏮		foremost, pre-eminent in, principal, protruding		
202	in	𓏅 𓈖𓏏𓏮		who / which is in front of, southern, south of, who is at the head of		
202	in	𓏇 𓇋𓐪 𓏥		in every respect	complete	
202	in	𓏇 𓇋𓐪 𓏥		in every respect		
202	in	𓏏𓅓 𓇾		a type of bread 		
202	in	𓏏𓅱𓏏𓀾 𓏜		be pleased, assembled, united, be in accord, full, entire, complete	tout! +++ FR complet! ← +++	
202	in	𓏏𓈖𓃀 𓋴		a type of bread 		
202	in	𓏏𓏐 𓌈 𓇮		white - loaf 		
202	in	𓏏𓏥		 egg	I Reptiles	
202	in	𓏏𓏮𓏴𓅪		gr.jam.in		
202	in	𓏠 𓈖𓅪		be ill, suffer, be ill of, suffer from, suffer in , be troubled about  -vål		
202	in	𓏠 𓈖𓏛		be fixed, stick fast , be attached , remain , dwell , be vested 		
202	in	𓏮 𓏌𓏛		companion, fellow, equal, counterpart, dual contestants 		
202	in	𓏶		who is in, which is in	"whom / west? / ""who is it"""	
202	in	𓏶 𓅓		who is in, which is in	whom for	
202	in	𓏶 𓅓 𓏏		between, in the midst of	imfort / inmit / amids	
202	in	𓏶 𓅓 𓏮 𓏏𓏲		between, in the midst of	inmitten #iMi ++	
202	in	𓐍 𓂋 𓀒		fall 	⇔	
202	in	𓐍 𓂝 𓈍		rise , appear in glory , be shining 	Khon™ krön chronos Hoch ⇔ Crown	
202	in	𓐍 𓆑		 in front of, in accordance with, as well as, corresponding to	kan-i@Urartu / ~qua_ cum / ex-sin / akson / axon / exon	
202	in	𓐍 𓆑 𓏏		 in front of, in accordance with, as well as, corresponding to	kan-i@Urartu / 'ksnt / exunt / ec-onto	
202	in	𓐍 𓆼 𓄿 𓅓 𓂢		bend , bow down	kauer prtel?	
202	in	𓐍 𓆼 𓄿 𓅓 𓂢		bend , bow down	kotauer fair: Kotau=kowtow QED! +++	
